ml.c4.xlarge,4,7.5,1.875
ml.c5.2xlarge,8,16,2
ml.m5.xlarge,4,16,4
ml.m4.xlarge,4,16,4
ml.m5d.xlarge,4,16,4
ml.c5.4xlarge,16,32,2
ml.t2.2xlarge,8,32,4
ml.m5.2xlarge,8,32,4
ml.m5d.2xlarge,8,32,4
ml.r5d.xlarge,4,32,8
ml.c4.8xlarge,36,60,1.666666667
ml.m5.4xlarge,16,64,4
ml.m4.4xlarge,16,64,4
ml.m5d.4xlarge,16,64,4
ml.r5d.2xlarge,8,64,8
ml.c5.9xlarge,36,72,2
ml.r5d.4xlarge,16,128,8
ml.c5.18xlarge,72,144,2
ml.m4.10xlarge,40,160,4
ml.m5.12xlarge,48,192,4
ml.m5d.12xlarge,48,192,4
ml.m4.16xlarge,64,256,4
ml.m5d.24xlarge,96,384,4
ml.r5d.12xlarge,48,384,8
ml.r5d.24xlarge,96,768,8